
PKUNZIP (R)    FAST!    Extract Utility    Version 2.04g  02-01-93
Copr. 1989-1993 PKWARE Inc. All Rights Reserved. Shareware Version
PKUNZIP Reg. U.S. Pat. and Tm. Off.

þ XMS version 3.00 detected.

Searching ZIP: DFMAP.ZIP

 Length  Method   Size  Ratio   Date    Time    CRC-32  Attr  Name
 ------  ------   ----- -----   ----    ----   -------- ----  ----
   6348  DeflatN   4446  30%  23-10-90  06:00  985b3afa --w-  FLOPPY/ATT.BGI
   6332  DeflatN   4415  31%  23-10-90  06:00  5f4c2b51 --w-  FLOPPY/CGA.BGI
    218  DeflatN    178  19%  05-12-91  02:03  aa48649e --w-  FLOPPY/DFM.BAT
  18321  DeflatN   6923  63%  07-06-93  00:53  0767480b --w-  FLOPPY/COPYING
    247  DeflatN    227   9%  12-06-93  07:15  800f4558 --w-  FLOPPY/DFMAP.DOC
   5554  DeflatN   4049  28%  23-10-90  06:00  116c5498 --w-  FLOPPY/EGAVGA.BGI
   7204  DeflatN   2865  61%  06-02-87  12:00  d768c728 --w-  FLOPPY/GRAPHCPQ.COM
   3300  DeflatN   2014  39%  17-03-87  12:00  a99642bb --w-  FLOPPY/GRAPHICS.COM
    340  DeflatN    202  41%  23-03-90  12:10  1d24ff77 --w-  FLOPPY/HELP.BAT
   6204  DeflatN   4398  30%  23-10-90  06:00  ac360ec1 --w-  FLOPPY/HERC.BGI
   1618  DeflatN   1281  21%  20-08-86  00:00  a85da526 --w-  FLOPPY/HGC.COM
   6665  DeflatN   3464  49%  23-10-90  06:00  0350d1bd --w-  FLOPPY/IBM8514.BGI
   2744  DeflatN   1411  49%  12-06-93  07:45  ccd2bd6c --w-  FLOPPY/DFM.MSG
     20  Stored      20   0%  12-06-93  06:33  409abc19 --w-  FLOPPY/README.BAT
   9984  DeflatN   5917  41%  26-09-85  14:41  d59614c0 --w-  FLOPPY/MEMMAP.COM
   1280  DeflatN    609  53%  26-09-85  14:41  a8a8a729 --w-  FLOPPY/MEMMAP.DOC
   6012  DeflatN   4224  30%  23-10-90  06:00  dcc0f8d3 --w-  FLOPPY/PC3270.BGI
   8501  DeflatN   3988  54%  12-06-93  06:32  9434b4bc --w-  FLOPPY/README
   1152  DeflatN    313  73%  05-12-91  02:03  4380b83b --w-  FLOPPY/RUNALL.BAT
  17040  DeflatN   9973  42%  31-12-87  04:00  592746b5 --w-  FLOPPY/TEXTSORT.EXE
   2400  DeflatN    979  60%  12-06-93  07:26  f83be794 --w-  FLOPPY/LIST
    438  DeflatN    274  38%  05-12-91  02:10  719a1606 --r-  FLOPPY/BF-FIX.BAT
    529  DeflatN    302  43%  12-06-93  04:46  0bed70cc --r-  FLOPPY/BF-IND.BAT
    238  DeflatN    206  14%  05-12-91  02:03  0256f790 --r-  FLOPPY/BF.BAT
     29  Stored      29   0%  05-12-91  02:03  ed73c20b --w-  FLOPPY/CU.BAT
    438  DeflatN    274  38%  05-12-91  02:15  53c3cf46 --r-  FLOPPY/MF-FIX.BAT
    238  DeflatN    206  14%  05-12-91  02:03  af64c244 --r-  FLOPPY/MF.BAT
    153  DeflatN    128  17%  12-06-93  06:12  f1814071 --w-  FLOPPY/VCS-BAK.CFG
    153  DeflatN    128  17%  12-06-93  06:12  f1814071 --w-  FLOPPY/VCS.CFG
  53684  DeflatN   7958  86%  24-05-90  19:09  ffa61c36 --r-  FLOPPY/MATLPARS.DAT
