COPPER    HipPfx  5.0000000000E+01
COPPER    HipPlt  1.0000000000E+00
COPPER    HipPP0  1.0000000000E-01
COPPER    HipPrd  7.5000000000E-05
COPPER    HipRD0  6.2000000000E-01
COPPER    HipStN  4.0000000000E+01
COPPER    HipSy+  1.0000000000E+01
COPPER    HipSy-  1.0000000000E-03
COPPER    HipT+   1.0000000000E+00
COPPER    HipT-   3.0000000000E-01
COPPER    HipTfx  7.7300000000E+02
COPPER    IMC     1.1000000000E+01
COPPER    LatErg  5.0000000000E-02
COPPER    LatSrs  6.3000000000E-03
COPPER    n-plc   4.8000000000E+00
COPPER    ObsErg  5.0000000000E-01
COPPER    ObsSrs  1.3000000000E-03
COPPER    Omega   1.1800000000E-29
COPPER    plcErg  1.9700000000E+02
COPPER    ShrMod  5.3566592920E+01
COPPER    Srsplc  3.5000000000E+01
COPPER    SurD0   6.0000000000E-10
COPPER    SurErg  2.0500000000E+02
COPPER    T-dep   4.8237154150E-01
COPPER    T-melt  1.3560000000E+03
COPPER    VolD0   6.2000000000E-05
COPPER    VolErg  2.0700000000E+02
COPPER    YldSrs  5.5000000000E+01
COPPER    YldTdp  5.4000000000E-01
COPPER    YngMod  1.4500000000E+02
FE-ALPHA  BdyD0   1.1200000000E-12
FE-ALPHA  BdyErg  1.7400000000E+02
FE-ALPHA  Burgr   2.1330133428E-10
FE-ALPHA  CorD0   1.0000000000E-23
FE-ALPHA  CorErg  1.7400000000E+02
FE-ALPHA  Densty  7.6200000000E+03
FE-ALPHA  DfmCn*  1.0000000000E+02
FE-ALPHA  DfmCn1  1.0000000000E-14
FE-ALPHA  DfmCnN  1.0000000000E+01
FE-ALPHA  DfmGsz  2.0000000000E+02
FE-ALPHA  DfmStN  4.0000000000E+01
FE-ALPHA  DfmSy+  1.0000000000E-02
FE-ALPHA  DfmSy-  1.0000000000E-06
FE-ALPHA  DfmT+   1.0000000000E+00
FE-ALPHA  DfmT-   0.0000000000E+00
FE-ALPHA  EnrgSr  2.1000000000E+00
FE-ALPHA  HipCn*  2.0000000000E+00
FE-ALPHA  HipCn1  9.0000000000E+02
FE-ALPHA  HipCnN  7.0000000000E+00
FE-ALPHA  HipDn+  1.0000000000E+00
FE-ALPHA  HipDn-  6.0000000000E-01
FE-ALPHA  HipGsz  2.0000000000E-05
FE-ALPHA  HipPfx  5.0000000000E+01
FE-ALPHA  HipPlt  1.0000000000E+00
FE-ALPHA  HipPP0  1.0000000000E-01
FE-ALPHA  HipPrd  1.0000000000E-05
FE-ALPHA  HipRD0  6.2000000000E-01
FE-ALPHA  HipStN  4.0000000000E+01
FE-ALPHA  HipSy+  1.0000000000E+01
FE-ALPHA  HipSy-  1.0000000000E-03
FE-ALPHA  HipT+   1.0000000000E+00
FE-ALPHA  HipT-   3.0000000000E-01
FE-ALPHA  HipTfx  1.2072700000E+03
FE-ALPHA  IMC     1.4000000000E+01
FE-ALPHA  LatErg  6.0000000000E-02
FE-ALPHA  LatSrs  6.0000000000E-03
FE-ALPHA  n-plc   6.9000000000E+00
FE-ALPHA  ObsErg  5.0000000000E-01
FE-ALPHA  ObsSrs  1.3000000000E-03
FE-ALPHA  Omega   1.1800000000E-29
FE-ALPHA  plcErg  2.8400000000E+02
FE-ALPHA  ShrMod  7.3363558011E+01
FE-ALPHA  Srsplc  6.0000000000E+01
FE-ALPHA  SurD0   2.5000000000E-09
FE-ALPHA  SurErg  2.3200000000E+02
FE-ALPHA  T-dep   7.1412566975E-01
FE-ALPHA  T-melt  1.8100000000E+03
FE-ALPHA  VolD0   1.9000000000E-04
FE-ALPHA  VolErg  2.3900000000E+02
FE-ALPHA  YldSrs  1.5000000000E+02
FE-ALPHA  YldTdp  8.1000000000E-01
FE-ALPHA  YngMod  1.9600000000E+02
FE-DELTA  BdyD0   1.12000000000000E-0012
FE-DELTA  BdyErg  1.74000000000000E+0002
FE-DELTA  BrkDn   1.00000000000000E-0003
FE-DELTA  Burgr   2.48000000000000E-0010
FE-DELTA  CorD0   1.00000000000000E-0023
FE-DELTA  CorErg  1.74000000000000E+0002
FE-DELTA  Densty  7.6200000000E+03
FE-DELTA  DffCt   3.00000000000000E-0001
FE-DELTA  DfmCn*  1.00000000000000E+0002
FE-DELTA  DfmCn1  1.00000000000000E-0014
FE-DELTA  DfmGsz  1.00000000000000E+02
FE-DELTA  DfmStN  2.50000000000000E+0001
FE-DELTA  Eltrn   2.00000000000000E-0008
FE-DELTA  EnrgSr  2.1000000000E+00
FE-DELTA  HipCn*  2.0000000000E+00
FE-DELTA  HipCn1  9.0000000000E+02
FE-DELTA  HipCnN  7.0000000000E+00
FE-DELTA  HipDn+  1.0000000000E+00
FE-DELTA  HipDn-  6.0000000000E-01
FE-DELTA  HipGsz  2.0000000000E-05
FE-DELTA  HipPfx  5.0000000000E+01
FE-DELTA  HipPlt  1.0000000000E+00
FE-DELTA  HipPP0  1.0000000000E-01
FE-DELTA  HipPrd  1.0000000000E-05
FE-DELTA  HipRD0  6.2000000000E-01
FE-DELTA  HipStN  4.0000000000E+01
FE-DELTA  HipSy+  1.0000000000E+01
FE-DELTA  HipSy-  1.0000000000E-03
